rows,cols,cpu_row_ms,cpu_col_ms,gpu_ms,speedup_vs_fastest_cpu,numpy_ms,scipy_ms,torch_cpu_ms,torch_cuda_ms
16,512,0.0203,0.0218,13.1734,0.001541,0.33545494079589844,1.0480880737304688,3.924846649169922,60.12701988220215
32,512,0.043,0.0666,0.6417,0.06701,0.6802082061767578,1.2171268463134766,1.0006427764892578,0.2033710479736328
64,512,0.0596,0.0533,1.0951,0.048671,0.965118408203125,1.1796951293945312,6.358623504638672,0.38433074951171875
128,512,0.0996,0.0896,1.1387,0.078686,3.2143592834472656,2.5691986083984375,1.40380859375,0.36072731018066406
256,512,0.1723,0.2213,1.1435,0.150678,6.186485290527344,5.006313323974609,1.7447471618652344,0.40650367736816406
512,512,0.3199,0.5155,1.1013,0.290475,14.183759689331055,9.052515029907227,1.9714832305908203,0.7998943328857422
1024,512,0.6212,1.3831,1.1505,0.539939,27.890682220458984,15.816211700439453,3.0379295349121094,0.7338523864746094
2048,512,1.2186,2.8608,0.8596,1.417636,53.766727447509766,24.40619468688965,5.642890930175781,2.338886260986328
4096,512,2.4118,6.2715,0.8636,2.792728,104.43973541259766,45.81427574157715,9.75346565246582,3.2532215118408203
8192,512,4.9578,19.9979,0.8675,5.715043,172.29723930358887,72.70383834838867,32.94730186462402,2.182483673095703
16384,512,6.2037,73.2413,9.4138,0.659001,256.78062438964844,151.2911319732666,61.11598014831543,5.190610885620117
32768,512,12.7557,194.6637,16.9718,0.751582,443.3152675628662,294.30198669433594,117.29788780212402,11.451244354248047
65536,512,25.1609,409.5196,30.0731,0.836658,895.9553241729736,570.486307144165,216.30167961120605,21.6217041015625
131072,512,48.7389,772.2604,56.6833,0.859846,1799.3710041046143,1128.2963752746582,387.9549503326416,41.87273979187012
262144,512,98.5201,1628.8326,6.3878,15.423166,3571.315288543701,2210.4644775390625,742.7957057952881,82.58247375488281
524288,512,194.2275,3210.6458,12.263,15.838498,7290.161609649658,4554.262399673462,1518.6505317687988,1169.1792011260986
1048576,512,390.2263,6578.8295,23.8437,16.366013,14786.585092544556,10229.051113128662,3757.967472076416,4188.03334236145
2097152,512,806.7588,13019.9626,90.8703,8.878135,32233.79898071289,46977.64015197754,8711.600303649902,6436.542272567749
2097152,2,22.9623,4.9118,6.0261,0.815088,275.7539749145508,331.01463317871094,198.60267639160156,28.488636016845703
2097152,4,18.372,12.6272,10.7328,1.176506,340.14391899108887,386.981725692749,135.4830265045166,133.85534286499023
2097152,8,20.5413,34.8613,17.0576,1.204232,565.5322074890137,533.6463451385498,136.7499828338623,143.5554027557373
2097152,16,28.7329,95.3848,29.7978,0.964262,1095.7508087158203,863.3575439453125,299.61609840393066,317.13366508483887
2097152,32,53.0889,376.6123,3.6401,14.584462,1932.478427886963,1411.0770225524902,464.219331741333,409.6043109893799
2097152,64,100.5934,958.8955,6.5746,15.300307,3711.2717628479004,2487.0424270629883,785.8378887176514,708.4517478942871
2097152,128,203.6189,2768.7224,20.9809,9.704965,7414.748430252075,5000.26535987854,1499.1214275360107,1425.0333309173584
2097152,256,402.2112,6287.9786,23.739,16.943056,14886.019706726074,10681.414127349854,3409.870147705078,2815.521001815796
2097152,512,788.0747,13330.1406,90.1095,8.745745,29603.96432876587,59124.61280822754,8956.751585006714,4995.888471603394
